"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2000","2000",1.61,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2001","2001",1.63,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2002","2002",1.63,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2003","2003",1.63,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2004","2004",1.63,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2005","2005",1.63,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2006","2006",1.54,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2007","2007",1.54,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2008","2008",1.54,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2009","2009",1.54,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2010","2010",1.54,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2011","2011",1.54,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2012","2012",1.54,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2013","2013",1.54,,
"ALB","Albania","IND-INFR-AIR-DENS","Airports per one hundred thousand sq. km","2004","2004",3.6,,
"ALB","Albania","IND-INFR-AIR-DENS","Airports per one hundred thousand sq. km","2008","2008",3.6,,
"ALB","Albania","IND-INFR-AIR-DENS","Airports per one hundred thousand sq. km","2010","2010",3.6,,
"ALB","Albania","IND-INFR-AIR-DENS","Airports per one hundred thousand sq. km","2013","2013",3.6,,
"ALB","Albania","IND-INFR-AIR-PC","Airports per one million inhabitants","2004","2004",0.3,,
"ALB","Albania","IND-INFR-AIR-PC","Airports per one million inhabitants","2008","2008",0.3,,
"ALB","Albania","IND-INFR-AIR-PC","Airports per one million inhabitants","2010","2010",0.3,,
"ALB","Albania","IND-INFR-AIR-PC","Airports per one million inhabitants","2013","2013",0.3,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2000","2000",2.799,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2001","2001",2.4,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2002","2002",1.489,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2003","2003",1.219,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2004","2004",1.584,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2005","2005",1.076,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2006","2006",2.464,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2007","2007",3.247,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2008","2008",5.698,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2009","2009",5.627,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2010","2010",2.693,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2011","2011",2.277,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2012","2012",1.892,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2013","2013",2.441,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2014","2014",1.94,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2015","2015",1.759,,
"ALB","Albania","IND-INFR-INV-GDP","Total inland transport infrastructure investment per GDP","2016","2016",0.831,,
